preset,coeff,value,baseline,outcome,mechanism,duration_months,final_dss,final_ses
gulf_war_1991,ses_pol_weight,0.25,0.2,decisive_victory_a,decisive,31,1.3,17.2
gulf_war_1991,ses_pol_weight,0.325,0.2,decisive_victory_a,decisive,31,1.3,15.1
gulf_war_1991,ses_pol_weight,0.4,0.2,decisive_victory_a,decisive,31,1.3,13.3
vietnam_war,ses_pol_weight,0.1,0.2,decisive_victory_a,decisive,17,1.3,25.5
vietnam_war,ses_pol_weight,0.175,0.2,decisive_victory_a,decisive,17,1.3,23.5
vietnam_war,ses_pol_weight,0.25,0.2,decisive_victory_a,decisive,17,1.3,21.8
vietnam_war,ses_pol_weight,0.325,0.2,decisive_victory_a,decisive,17,1.3,20.3
vietnam_war,ses_pol_weight,0.4,0.2,decisive_victory_a,decisive,17,1.3,18.9
wwi,ses_pol_weight,0.1,0.2,negotiated_settlement,uncertain,19,1.8,31.8
wwi,ses_pol_weight,0.175,0.2,negotiated_settlement,uncertain,19,1.8,29.3
wwi,ses_pol_weight,0.25,0.2,negotiated_settlement,uncertain,19,1.8,27.2
wwi,ses_pol_weight,0.325,0.2,negotiated_settlement,uncertain,19,1.8,25.4
wwi,ses_pol_weight,0.4,0.2,negotiated_settlement,uncertain,19,1.8,23.8
gulf_war_1991,ses_duration_weight,0.1,0.2,decisive_victory_a,decisive,31,1.3,15.2
gulf_war_1991,ses_duration_weight,0.175,0.2,decisive_victory_a,decisive,31,1.3,17.9
gulf_war_1991,ses_duration_weight,0.25,0.2,decisive_victory_a,decisive,31,1.3,20.4
gulf_war_1991,ses_duration_weight,0.325,0.2,decisive_victory_a,decisive,31,1.3,22.4
gulf_war_1991,ses_duration_weight,0.4,0.2,decisive_victory_a,decisive,31,1.3,24.3
vietnam_war,ses_duration_weight,0.1,0.2,decisive_victory_a,decisive,17,1.3,22.3
vietnam_war,ses_duration_weight,0.175,0.2,decisive_victory_a,decisive,17,1.3,22.7
vietnam_war,ses_duration_weight,0.25,0.2,decisive_victory_a,decisive,17,1.3,23.1
vietnam_war,ses_duration_weight,0.325,0.2,decisive_victory_a,decisive,17,1.3,23.5
vietnam_war,ses_duration_weight,0.4,0.2,decisive_victory_a,decisive,17,1.3,23.8
wwi,ses_duration_weight,0.1,0.2,negotiated_settlement,uncertain,19,1.8,28.2
wwi,ses_duration_weight,0.175,0.2,negotiated_settlement,uncertain,19,1.8,28.5
wwi,ses_duration_weight,0.25,0.2,negotiated_settlement,uncertain,19,1.8,28.7
wwi,ses_duration_weight,0.325,0.2,negotiated_settlement,uncertain,19,1.8,28.9
wwi,ses_duration_weight,0.4,0.2,negotiated_settlement,uncertain,19,1.8,29.1
