preset,coeff,value,baseline,outcome,mechanism,secondary_mechanism,confidence,termination_event,duration_months,decisive_shock_score,strategic_exhaustion_score,political_exhaustion_score
wwi,blockade,0.0163,0.01,negotiated_settlement,strategic exhaustion,decisive shock,0.6080743053902788,negotiated settlement,19,20.9,31.6,15.7
wwi,blockade,0.02,0.01,negotiated_settlement,strategic exhaustion,decisive shock,0.6123094080817437,negotiated settlement,19,20.9,32.1,15.7
gulf_war_1991,industrial_output,0.003,0.006,decisive_victory_a,strategic exhaustion,decisive shock,0.6180349089172974,political/military collapse of side B,31,20.6,26.8,18.8
gulf_war_1991,industrial_output,0.0053,0.006,decisive_victory_a,strategic exhaustion,decisive shock,0.6088614512875632,political/military collapse of side B,31,20.6,25.8,18.8
gulf_war_1991,industrial_output,0.0075,0.006,decisive_victory_a,strategic exhaustion,decisive shock,0.5992425343038447,political/military collapse of side B,31,20.6,24.8,18.8
gulf_war_1991,industrial_output,0.0098,0.006,decisive_victory_a,strategic exhaustion,decisive shock,0.5891338159972074,political/military collapse of side B,31,20.6,23.8,18.8
gulf_war_1991,industrial_output,0.012,0.006,decisive_victory_a,strategic exhaustion,decisive shock,0.5785391995609631,political/military collapse of side B,31,20.6,22.8,18.8
vietnam_war,industrial_output,0.003,0.006,decisive_victory_a,strategic exhaustion,decisive shock,0.5793874129006986,political/military collapse of side B,17,20.7,28.4,9.1
vietnam_war,industrial_output,0.0053,0.006,decisive_victory_a,strategic exhaustion,decisive shock,0.5727401807280706,political/military collapse of side B,17,20.7,27.9,9.1
vietnam_war,industrial_output,0.0075,0.006,decisive_victory_a,strategic exhaustion,decisive shock,0.5663632001768363,political/military collapse of side B,17,20.7,27.4,9.1
vietnam_war,industrial_output,0.0098,0.006,decisive_victory_a,strategic exhaustion,decisive shock,0.560417977687576,political/military collapse of side B,17,20.7,26.9,9.1
vietnam_war,industrial_output,0.012,0.006,decisive_victory_a,strategic exhaustion,decisive shock,0.5543203018156465,political/military collapse of side B,17,20.7,26.3,9.1
wwi,industrial_output,0.003,0.006,negotiated_settlement,strategic exhaustion,decisive shock,0.6085143366454812,negotiated settlement,19,20.9,31.7,15.7
wwi,industrial_output,0.0053,0.006,negotiated_settlement,strategic exhaustion,decisive shock,0.6025022648401925,negotiated settlement,19,20.9,31.1,15.7
wwi,industrial_output,0.0075,0.006,negotiated_settlement,strategic exhaustion,decisive shock,0.5963170588439408,negotiated settlement,19,20.9,30.6,15.7
wwi,industrial_output,0.0098,0.006,negotiated_settlement,strategic exhaustion,decisive shock,0.5899433636287016,negotiated settlement,19,20.9,30.0,15.7
wwi,industrial_output,0.012,0.006,negotiated_settlement,strategic exhaustion,decisive shock,0.5922249342152778,negotiated settlement,20,20.9,30.1,16.9
gulf_war_1991,casualty_pressure,0.1,0.2,decisive_victory_a,strategic exhaustion,decisive shock,0.6031326871271108,political/military collapse of side B,31,20.6,25.2,16.5
gulf_war_1991,casualty_pressure,0.175,0.2,decisive_victory_a,strategic exhaustion,decisive shock,0.605062496084323,political/military collapse of side B,31,20.6,25.4,18.2
gulf_war_1991,casualty_pressure,0.25,0.2,decisive_victory_a,strategic exhaustion,decisive shock,0.6069868281307705,political/military collapse of side B,31,20.6,25.6,20.0
gulf_war_1991,casualty_pressure,0.325,0.2,decisive_victory_a,strategic exhaustion,decisive shock,0.6088931768997949,political/military collapse of side B,31,20.6,25.9,21.7
gulf_war_1991,casualty_pressure,0.4,0.2,decisive_victory_a,strategic exhaustion,decisive shock,0.6107832893814235,political/military collapse of side B,31,20.6,26.1,23.5
vietnam_war,casualty_pressure,0.1,0.2,decisive_victory_a,strategic exhaustion,decisive shock,0.5676664763664717,political/military collapse of side B,17,20.7,27.3,7.6
vietnam_war,casualty_pressure,0.175,0.2,decisive_victory_a,strategic exhaustion,decisive shock,0.5697862461102824,political/military collapse of side B,17,20.7,27.6,8.7
vietnam_war,casualty_pressure,0.25,0.2,decisive_victory_a,strategic exhaustion,decisive shock,0.5718880573262207,political/military collapse of side B,17,20.7,28.0,9.9
vietnam_war,casualty_pressure,0.325,0.2,decisive_victory_a,strategic exhaustion,decisive shock,0.5739593025547459,political/military collapse of side B,17,20.7,28.3,11.1
vietnam_war,casualty_pressure,0.4,0.2,decisive_victory_a,strategic exhaustion,decisive shock,0.5760222354014269,political/military collapse of side B,17,20.7,28.6,12.2
wwi,casualty_pressure,0.1,0.2,negotiated_settlement,strategic exhaustion,decisive shock,0.5964436890520571,negotiated settlement,19,20.9,30.5,12.1
wwi,casualty_pressure,0.175,0.2,negotiated_settlement,strategic exhaustion,decisive shock,0.5994613133905495,negotiated settlement,19,20.9,30.8,14.8
wwi,casualty_pressure,0.25,0.2,negotiated_settlement,strategic exhaustion,decisive shock,0.6024420824861351,negotiated settlement,19,20.9,31.2,17.6
wwi,casualty_pressure,0.325,0.2,negotiated_settlement,strategic exhaustion,decisive shock,0.6053854383994934,negotiated settlement,19,20.9,31.5,20.3
wwi,casualty_pressure,0.4,0.2,negotiated_settlement,strategic exhaustion,decisive shock,0.6083572702531104,negotiated settlement,19,20.9,31.9,23.1
gulf_war_1991,weariness,0.2,0.4,decisive_victory_a,strategic exhaustion,decisive shock,0.6032649025155573,political/military collapse of side B,31,20.6,25.3,16.3
gulf_war_1991,weariness,0.35,0.4,decisive_victory_a,strategic exhaustion,decisive shock,0.6050976733143141,political/military collapse of side B,31,20.6,25.4,18.2
gulf_war_1991,weariness,0.5,0.4,decisive_victory_a,strategic exhaustion,decisive shock,0.6069165424011451,political/military collapse of side B,31,20.6,25.6,20.1
gulf_war_1991,weariness,0.65,0.4,decisive_victory_a,strategic exhaustion,decisive shock,0.6087199017551211,political/military collapse of side B,31,20.6,25.7,22.0
gulf_war_1991,weariness,0.8,0.4,decisive_victory_a,strategic exhaustion,decisive shock,0.6105084483364798,political/military collapse of side B,31,20.6,25.9,23.9
vietnam_war,weariness,0.2,0.4,decisive_victory_a,strategic exhaustion,decisive shock,0.5671832737160014,political/military collapse of side B,17,20.7,27.4,6.7
vietnam_war,weariness,0.35,0.4,decisive_victory_a,strategic exhaustion,decisive shock,0.5696604900149902,political/military collapse of side B,17,20.7,27.6,8.5
vietnam_war,weariness,0.5,0.4,decisive_victory_a,strategic exhaustion,decisive shock,0.5721260805330288,political/military collapse of side B,17,20.7,27.9,10.3
vietnam_war,weariness,0.65,0.4,decisive_victory_a,strategic exhaustion,decisive shock,0.5745532924539991,political/military collapse of side B,17,20.7,28.2,12.1
vietnam_war,weariness,0.8,0.4,decisive_victory_a,strategic exhaustion,decisive shock,0.5769582866248765,political/military collapse of side B,17,20.7,28.5,13.9
wwi,weariness,0.2,0.4,negotiated_settlement,strategic exhaustion,decisive shock,0.5969752131897125,negotiated settlement,19,20.9,30.6,12.5
wwi,weariness,0.35,0.4,negotiated_settlement,strategic exhaustion,decisive shock,0.5995850436228445,negotiated settlement,19,20.9,30.8,14.9
wwi,weariness,0.5,0.4,negotiated_settlement,strategic exhaustion,decisive shock,0.6021772907765913,negotiated settlement,19,20.9,31.1,17.4
wwi,weariness,0.65,0.4,negotiated_settlement,strategic exhaustion,decisive shock,0.6047439406941066,negotiated settlement,19,20.9,31.4,19.8
wwi,weariness,0.8,0.4,negotiated_settlement,strategic exhaustion,decisive shock,0.6073977850437916,negotiated settlement,19,20.9,31.7,22.4
gulf_war_1991,economic_hardship,0.015,0.03,decisive_victory_a,strategic exhaustion,decisive shock,0.6057051595346821,political/military collapse of side B,31,20.6,25.5,18.8
gulf_war_1991,economic_hardship,0.0262,0.03,decisive_victory_a,strategic exhaustion,decisive shock,0.6057051595346821,political/military collapse of side B,31,20.6,25.5,18.8
gulf_war_1991,economic_hardship,0.0375,0.03,decisive_victory_a,strategic exhaustion,decisive shock,0.6057051595346821,political/military collapse of side B,31,20.6,25.5,18.8
gulf_war_1991,economic_hardship,0.0488,0.03,decisive_victory_a,strategic exhaustion,decisive shock,0.6057051595346821,political/military collapse of side B,31,20.6,25.5,18.8
gulf_war_1991,economic_hardship,0.06,0.03,decisive_victory_a,strategic exhaustion,decisive shock,0.6057051595346821,political/military collapse of side B,31,20.6,25.5,18.8
vietnam_war,economic_hardship,0.015,0.03,decisive_victory_a,strategic exhaustion,decisive shock,0.5704851597313894,political/military collapse of side B,17,20.7,27.7,9.1
vietnam_war,economic_hardship,0.0262,0.03,decisive_victory_a,strategic exhaustion,decisive shock,0.5704851597313894,political/military collapse of side B,17,20.7,27.7,9.1
vietnam_war,economic_hardship,0.0375,0.03,decisive_victory_a,strategic exhaustion,decisive shock,0.5704851597313894,political/military collapse of side B,17,20.7,27.7,9.1
vietnam_war,economic_hardship,0.0488,0.03,decisive_victory_a,strategic exhaustion,decisive shock,0.5704851597313894,political/military collapse of side B,17,20.7,27.7,9.1
vietnam_war,economic_hardship,0.06,0.03,decisive_victory_a,strategic exhaustion,decisive shock,0.5704851597313894,political/military collapse of side B,17,20.7,27.7,9.1
wwi,economic_hardship,0.015,0.03,negotiated_settlement,strategic exhaustion,decisive shock,0.6004557784428932,negotiated settlement,19,20.9,30.9,15.7
wwi,economic_hardship,0.0262,0.03,negotiated_settlement,strategic exhaustion,decisive shock,0.6004557784428932,negotiated settlement,19,20.9,30.9,15.7
wwi,economic_hardship,0.0375,0.03,negotiated_settlement,strategic exhaustion,decisive shock,0.6004557784428932,negotiated settlement,19,20.9,30.9,15.7
wwi,economic_hardship,0.0488,0.03,negotiated_settlement,strategic exhaustion,decisive shock,0.6004557784428932,negotiated settlement,19,20.9,30.9,15.7
wwi,economic_hardship,0.06,0.03,negotiated_settlement,strategic exhaustion,decisive shock,0.6004557784428932,negotiated settlement,19,20.9,30.9,15.7
gulf_war_1991,bombing,0.0075,0.015,decisive_victory_a,strategic exhaustion,decisive shock,0.6048524445252541,political/military collapse of side B,31,20.6,25.4,18.8
gulf_war_1991,bombing,0.0131,0.015,decisive_victory_a,strategic exhaustion,decisive shock,0.605463562885202,political/military collapse of side B,31,20.6,25.4,18.8
gulf_war_1991,bombing,0.0187,0.015,decisive_victory_a,strategic exhaustion,decisive shock,0.6061917293539836,political/military collapse of side B,31,20.6,25.5,18.8
gulf_war_1991,bombing,0.0244,0.015,decisive_victory_a,strategic exhaustion,decisive shock,0.6068461329021976,political/military collapse of side B,31,20.6,25.6,18.8
gulf_war_1991,bombing,0.03,0.015,decisive_victory_a,strategic exhaustion,decisive shock,0.6011834788515409,political/military collapse of side B,30,20.6,25.5,17.6
vietnam_war,bombing,0.0075,0.015,decisive_victory_a,strategic exhaustion,decisive shock,0.5812969594410682,political/military collapse of side B,18,20.7,28.5,9.5
vietnam_war,bombing,0.0131,0.015,decisive_victory_a,strategic exhaustion,decisive shock,0.5819632111395002,political/military collapse of side B,18,20.7,28.5,9.5
vietnam_war,bombing,0.0187,0.015,decisive_victory_a,strategic exhaustion,decisive shock,0.5708899594617242,political/military collapse of side B,17,20.7,27.8,9.1
vietnam_war,bombing,0.0244,0.015,decisive_victory_a,strategic exhaustion,decisive shock,0.5715529371677682,political/military collapse of side B,17,20.7,27.8,9.1
vietnam_war,bombing,0.03,0.015,decisive_victory_a,strategic exhaustion,decisive shock,0.5721770895556834,political/military collapse of side B,17,20.7,27.9,9.1
wwi,bombing,0.0075,0.015,negotiated_settlement,strategic exhaustion,decisive shock,0.6077724877545873,negotiated settlement,20,20.9,31.5,16.9
wwi,bombing,0.0131,0.015,negotiated_settlement,strategic exhaustion,decisive shock,0.608798404201396,negotiated settlement,20,20.9,31.6,16.9
wwi,bombing,0.0187,0.015,negotiated_settlement,strategic exhaustion,decisive shock,0.6010594709309007,negotiated settlement,19,20.9,31.0,15.7
wwi,bombing,0.0244,0.015,negotiated_settlement,strategic exhaustion,decisive shock,0.6019390017311169,negotiated settlement,19,20.9,31.1,15.7
wwi,bombing,0.03,0.015,negotiated_settlement,strategic exhaustion,decisive shock,0.6027793833073096,negotiated settlement,19,20.9,31.1,15.7
gulf_war_1991,recon,0.002,0.004,decisive_victory_a,strategic exhaustion,decisive shock,0.6006661333286955,political/military collapse of side B,30,20.6,25.5,17.6
gulf_war_1991,recon,0.0035,0.004,decisive_victory_a,strategic exhaustion,decisive shock,0.6060434338921983,political/military collapse of side B,31,20.6,25.5,18.8
gulf_war_1991,recon,0.005,0.004,decisive_victory_a,strategic exhaustion,decisive shock,0.6051053895703966,political/military collapse of side B,31,20.6,25.4,18.8
gulf_war_1991,recon,0.0065,0.004,decisive_victory_a,strategic exhaustion,decisive shock,0.6042512654433574,political/military collapse of side B,31,20.6,25.4,18.8
gulf_war_1991,recon,0.008,0.004,decisive_victory_a,strategic exhaustion,decisive shock,0.6034293182013272,political/military collapse of side B,31,20.6,25.4,18.8
vietnam_war,recon,0.002,0.004,decisive_victory_a,strategic exhaustion,decisive shock,0.5708785566085026,political/military collapse of side B,17,20.7,27.8,9.1
vietnam_war,recon,0.0035,0.004,decisive_victory_a,strategic exhaustion,decisive shock,0.5705999030618094,political/military collapse of side B,17,20.7,27.7,9.1
vietnam_war,recon,0.005,0.004,decisive_victory_a,strategic exhaustion,decisive shock,0.5819484938232905,political/military collapse of side B,18,20.7,28.5,9.5
vietnam_war,recon,0.0065,0.004,decisive_victory_a,strategic exhaustion,decisive shock,0.5816125161254999,political/military collapse of side B,18,20.7,28.5,9.5
vietnam_war,recon,0.008,0.004,decisive_victory_a,strategic exhaustion,decisive shock,0.5812751933492631,political/military collapse of side B,18,20.7,28.5,9.5
wwi,recon,0.002,0.004,negotiated_settlement,strategic exhaustion,decisive shock,0.6008934323222835,negotiated settlement,19,20.9,31.0,15.7
wwi,recon,0.0035,0.004,negotiated_settlement,strategic exhaustion,decisive shock,0.6005788431342215,negotiated settlement,19,20.9,30.9,15.7
